,Country Name,Country Code,Year,Life Expectancy
336,"Gambia, The",GMB,2000,56.899
337,Georgia,GEO,2000,70.091
338,Germany,DEU,2000,77.92682927
339,Ghana,GHA,2000,58.139
340,Gibraltar,GIB,2000,80.145
341,Greece,GRC,2000,77.88780488
342,Greenland,GRL,2000,64.80341463
343,Grenada,GRD,2000,72.955
344,Guam,GUM,2000,74.894
345,Guatemala,GTM,2000,67.102
346,Guinea,GIN,2000,52.42
347,Guinea-Bissau,GNB,2000,50.565
348,Guyana,GUY,2000,64.075
349,Haiti,HTI,2000,58.175
350,Honduras,HND,2000,68.302
351,"Hong Kong SAR, China",HKG,2000,80.87317073
352,Hungary,HUN,2000,71.24634146
353,Iceland,ISL,2000,79.65365854
354,India,IND,2000,62.749
355,Indonesia,IDN,2000,66.292
356,"Iran, Islamic Rep.",IRN,2000,70.166
357,Iraq,IRQ,2000,64.86
358,Ireland,IRL,2000,76.53658537
359,Isle of Man,IMN,2000,74.842
360,Israel,ISR,2000,78.95365854
361,Italy,ITA,2000,79.77804878
362,Jamaica,JAM,2000,71.281
363,Japan,JPN,2000,81.07609756
364,Jordan,JOR,2000,71.926
365,Kazakhstan,KAZ,2000,63.793
366,Kenya,KEN,2000,56.084
367,Kiribati,KIR,2000,64.674
368,"Korea, Dem. People's Rep.",PRK,2000,60.911
369,"Korea, Rep.",KOR,2000,75.9097561
370,Kosovo,XKX,2000,71.321
371,Kuwait,KWT,2000,76.22587805
372,Kyrgyz Republic,KGZ,2000,68.55853659
373,Lao PDR,LAO,2000,58.317
374,Latvia,LVA,2000,70.31463415
375,Lebanon,LBN,2000,73.895
376,Lesotho,LSO,2000,48.783
377,Liberia,LBR,2000,51.852
378,Libya,LBY,2000,70.542
379,Liechtenstein,LIE,2000,76.82682927
380,Lithuania,LTU,2000,72.0195122
381,Luxembourg,LUX,2000,77.87317073
382,"Macao SAR, China",MAC,2000,80.18292683
383,Madagascar,MDG,2000,57.974
384,Malawi,MWI,2000,46.17
385,Malaysia,MYS,2000,72.732
386,Maldives,MDV,2000,70.892
387,Mali,MLI,2000,50.605
388,Malta,MLT,2000,78.34878049
389,Marshall Islands,MHL,2000,63.323
390,Mauritania,MRT,2000,61.044
391,Mauritius,MUS,2000,71.66341463
392,Mexico,MEX,2000,72.562
393,"Micronesia, Fed. Sts.",FSM,2000,64.317
394,Moldova,MDA,2000,67.462
395,Monaco,MCO,2000,82.121
396,Mongolia,MNG,2000,63.2104878
397,Montenegro,MNE,2000,73.39680488
398,Morocco,MAR,2000,66.794
399,Mozambique,MOZ,2000,49.476
400,Myanmar,MMR,2000,60.357
401,Namibia,NAM,2000,52.946
402,Nauru,NRU,2000,59.574
403,Nepal,NPL,2000,62.642
404,Netherlands,NLD,2000,77.98780488
405,New Caledonia,NCL,2000,73.574
406,New Zealand,NZL,2000,78.63658537
407,Nicaragua,NIC,2000,66.36
408,Niger,NER,2000,49.172
409,Nigeria,NGA,2000,47.143
410,North Macedonia,MKD,2000,72.94634146
411,Northern Mariana Islands,MNP,2000,74.9
412,Norway,NOR,2000,78.63414634
413,Oman,OMN,2000,73.643
414,Pakistan,PAK,2000,61.903
415,Palau,PLW,2000,64.499
416,Panama,PAN,2000,73.443
417,Papua New Guinea,PNG,2000,61.609
418,Paraguay,PRY,2000,70.026
419,Peru,PER,2000,69.821
420,Philippines,PHL,2000,67.789
421,Poland,POL,2000,73.74878049
422,Portugal,PRT,2000,76.31463415
423,Puerto Rico (US),PRI,2000,75.514
424,Qatar,QAT,2000,75.25
425,Romania,ROU,2000,71.16341463
426,Russian Federation,RUS,2000,65.48365854
427,Rwanda,RWA,2000,47.798
428,Samoa,WSM,2000,70.791
429,San Marino,SMR,2000,80.504
430,Sao Tome and Principe,STP,2000,61.207
431,Saudi Arabia,SAU,2000,72.607
432,Senegal,SEN,2000,57.615
433,Serbia,SRB,2000,71.58292683
434,Seychelles,SYC,2000,72.77804878
435,Sierra Leone,SLE,2000,44.834
436,Singapore,SGP,2000,77.95121951
437,Sint Maarten (Dutch part),SXM,2000,74.409
438,Slovak Republic,SVK,2000,73.05121951
439,Slovenia,SVN,2000,75.41219512
440,Solomon Islands,SLB,2000,67.116
441,"Somalia, Fed. Rep.",SOM,2000,50.747
442,South Africa,ZAF,2000,58.368
443,South Sudan,SSD,2000,47.591
444,Spain,ESP,2000,78.96585366
445,Sri Lanka,LKA,2000,71.179
446,St. Kitts and Nevis,KNA,2000,69.249
447,St. Lucia,LCA,2000,70.779
448,St. Martin (French part),MAF,2000,76.793
449,St. Vincent and the Grenadines,VCT,2000,70.35
450,Sudan,SDN,2000,58.946
451,Suriname,SUR,2000,64.409
452,Sweden,SWE,2000,79.64390244
453,Switzerland,CHE,2000,79.6804878
454,Syrian Arab Republic,SYR,2000,70.856
455,Tajikistan,TJK,2000,63.542
456,Tanzania,TZA,2000,53.244
457,Thailand,THA,2000,71.205
458,Timor-Leste,TLS,2000,58.097
459,Togo,TGO,2000,54.587
460,Tonga,TON,2000,69.635
461,Trinidad and Tobago,TTO,2000,68.629
462,Tunisia,TUN,2000,72.604
463,Turkiye,TUR,2000,71.931
464,Turkmenistan,TKM,2000,64.931
465,Turks and Caicos Islands,TCA,2000,73.972
466,Tuvalu,TUV,2000,63.536
467,Uganda,UGA,2000,49.64
468,Ukraine,UKR,2000,67.786
